CC or CH,Apartment Name,CC_ID,Priority_Last Date,Priority,Add,District,City,Latitude,Longitude,CL Apartment Name,Ngày hoàn thành,Handover Y-Q,Quantity,Ngày bàn giao cuối cùng,Số Lượng Biệt Thự,Price/m2,rating,user_ratings_total,business_status,place_id,Total Population,Total Households,Average Household Size,CC_Segment,Sales,que_point,Close_Store
CC,Tổ hợp thương mại ngã 6 - Tỉnh Bắc Ninh,CCBNI0004,,0,"Ngã 6 ,Đại Phúc,Bắc Ninh,Bắc Ninh",Bắc Ninh,Bắc Ninh,21.1780951,106.0709797,,,,,,,,,,,,,,,Trung bình,,,
CC,Hải Quân Tam Giang,CCBNI0015,,0,"Tam Giang,Yên Phong,Bắc Ninh",Yên Phong,Bắc Ninh,21.2248095,105.9406128,,,,,,,,,,,,,,,,,,
CC,Yên Phụ Newlife,CCBNI0016,,0,"Yên Phụ,Yên Phong,Bắc Ninh",Yên Phong,Bắc Ninh,21.1943571,105.9259271,,,,,,,,,,,,,,,,,,
CC,Khu đô thị Vườn Sen,CCBNI0017,,0,"Đồng Kỵ,Từ Sơn,Bắc Ninh",Từ Sơn,Bắc Ninh,21.1399547,105.9494248,,,,77,,,,,,,,,,,,,,
CC,Belhomes,CCBNI0018,,0,"Đường Hữu Nghị,Phù Chẩn,Từ Sơn,Bắc Ninh",Từ Sơn,Bắc Ninh,21.0779189,105.9714579,,2019-09-30 0:00:00,2019-3,,,,,,,,,,,,,,,
CC,Him Lam Green Park,CCBNI0019,,0,"Nút giao Quốc lộ 1A và Quốc lộ 18,Đại Phúc,Bắc Ninh,Bắc Ninh",Bắc Ninh,Bắc Ninh,21.1695661,106.0937737,,2019-12-30 0:00:00,2019-4,,,22,,,,,,,,,,,,
CC,Palado Vạn An,CCBNI0020,,0,"Làn số 2, đường Thiên Đức,Vạn An,Bắc Ninh,Bắc Ninh",Bắc Ninh,Bắc Ninh,21.1813656,106.0623121,,2019-03-30 0:00:00,2019-1,,,,,,,,,,,,,,,
CC,Khu dân cư Phố Xanh,,,0,"đường Sân Bia,Bến Tre,Phú Tân,Bến Tre",Phú Tân,Bến Tre,10.2604901,106.3736217,,,,,,,,,,,,,,,,,,
CC,Phương Nam River Park,,,0,"Tỉnh lộ 884,Sơn Đông,Bến Tre,Bến Tre",Bến Tre,Bến Tre,10.2666437,106.3395663,,,,,,,,,,,,,,,,,,
CC,I-Tower,CCBDI0001,,0,"Đường Lê Duẩn,Lý Thường Kiệt,Quy Nhơn,Bình Định",Quy Nhơn,Bình Định,13.76844,109.2212,I-Tower,2/15/2023,2023-1,993,,,30,,,,,,,,Trung bình,,,
CC,Grand Center Quy Nhơn,CCBDI0002,,0,"Số 01 Nguyễn Tất Thành,Lý Thường Kiệt,Quy Nhơn,Bình Định",Quy Nhơn,Bình Định,13.77488,109.2225,Grand Center Quy Nhơn,11/15/2023,2023-4,846,,,28,,,,,,,,Trung bình,,,
CC,EcoLife Riverside,CCBDI0003,,0,"Đường Điện Biên Phủ,Nhơn Bình,Quy Nhơn,Bình Định",Quy Nhơn,Bình Định,13.78897,109.2034,EcoLife Riverside,5/15/2021,2021-2,694,,,17,,,,,,,,Trung bình,,,
CC,Phú Tài Residence,CCBDI0004,,0,"Đường Lê Đức Thọ,Hải Cảng,Quy Nhơn,Bình Định",Quy Nhơn,Bình Định,13.77711,109.2369,Phú Tài Residence,2/15/2022,2022-1,634,,,22,,,,,,,,Trung bình,,,
CC,TMS Luxury Hotel & Residence Quy Nhon,CCBDI0005,,0,"Số 28 đường Nguyễn Huệ,Lê Lợi,Quy Nhơn,Bình Định",Quy Nhơn,Bình Định,13.77006,109.2329,TMS Luxury Hotel & Residence Quy Nhon,12/30/2019,2019-4,382,,,,,,,,,,,Trung bình,,,
CC,Thịnh Phát Tower,CCBDI0006,,0,"388 đường Nguyễn Thái Học,Ngô Mây,Quy Nhơn,Bình Định",Quy Nhơn,Bình Định,13.7639,109.214,Thịnh Phát Tower,3/30/2020,2020-1,193,,,,,,,,,,,Trung bình,,,
