fid,Total Population,Total Households,Average Household Size
832197,2230,700,3.19
832198,3371,944,3.57
832199,2890,822,3.52
832200,9049,2578,3.51
832201,10315,2939,3.51
832202,14851,4231,3.51
832203,20442,5069,4.03
832204,28895,7089,4.08
832205,35095,8611,4.08
832206,33161,8136,4.08
832207,6823,1701,4.01
832208,3405,870,3.91
832209,2932,692,4.24
832210,40567,8549,4.75
832211,19633,4795,4.09
832212,19359,4728,4.09
832213,6461,1578,4.09
832214,3642,890,4.09
832215,116,29,4
832216,1409,349,4.04
832217,1838,455,4.04
833837,11563,3430,3.37
833838,10424,2972,3.51
833839,4781,1383,3.46
833840,4608,1313,3.51
833841,4581,1305,3.51
833842,10644,3033,3.51
833843,13108,3735,3.51
833844,11747,3345,3.51
833845,14709,3624,4.06
833846,6916,1737,3.98
833847,19701,4859,4.05
833848,14852,3679,4.04
833849,5286,1350,3.92
833850,1284,328,3.91
833851,1407,359,3.92
833852,12447,3020,4.12
833853,12738,3111,4.09
833854,17109,4179,4.09
833855,7414,1811,4.09
833856,3693,902,4.09
833857,1630,399,4.09
833858,4865,1194,4.07
833859,1398,346,4.04
835479,9335,3160,2.95
835480,11814,3414,3.46
835481,11018,3139,3.51
835482,3619,1031,3.51
835483,2971,846,3.51
835484,9894,2819,3.51
835485,12926,3669,3.52
835486,11123,2892,3.85
835487,3740,929,4.03
835488,6092,1554,3.92
835489,8167,2085,3.92
835490,8207,2096,3.92
835491,3563,910,3.92
835492,1191,295,4.04
835493,3577,876,4.08
835494,9682,2365,4.09
835495,12156,2969,4.09
835496,16600,4055,4.09
835497,17170,4194,4.09
835498,10957,2676,4.09
835499,7476,1826,4.09
835500,9744,2385,4.09
835501,4121,1019,4.04
837121,8054,2612,3.08
837122,11055,3310,3.34
837123,14633,4185,3.5
837124,12752,3633,3.51
837125,11376,3241,3.51
837126,12770,3639,3.51
837127,7246,2045,3.54
837128,3878,951,4.08
837129,3581,879,4.07
837130,1233,312,3.95
837131,4541,1159,3.92
837132,6425,1640,3.92
837133,1677,428,3.92
837134,2064,507,4.07
837135,5280,1290,4.09
837136,1997,488,4.09
837137,1724,423,4.08
837138,6890,1683,4.09
